 ID taxon,species,nom allemand,nom francais,nom italien,priorite,menace,responsabilite,necessite de prendre des mesures,Necessite de surveiller les populations,connaissances suffisantes?,techniques connues?,Jura,Plateau
334400,Pyrola chlorantha Sw.,Gruenliches Wintergruen,Pyrole verdatre,Piroletta verdastra,4,VU,1,1,1,1,0,A,A
335200,Pyrus nivalis Jacq.,Schneebirne,Poirier des neiges,Pero alpino,4,VU,1,1,1,1,0,A,C
336300,Radiola linoides Roth,Zwergflachs,Radiole faux lin,Falso-lino,2,RE,1,99,0,0,0,0,D
336900,Ranunculus aquatilis L.,Gemeiner Wasser-Hahnenfuss,Renoncule aquatique,Ranuncolo acquatico comune,4,VU,1,1,1,1,0,A,A
337100,Ranunculus arvensis L.,Acker-Hahnenfuss,Renoncule des champs,Ranuncolo dei campi,4,VU,1,1,0,1,0,A,A
338000,Ranunculus circinatus Sibth.,Starrer Wasserhahnenfuss,Renoncule en crosse,Ranuncolo circinnato,4,VU,1,1,1,1,0,A,A
338800,Ranunculus gramineus L.,Grasblaettriger Hahnenfuss,Renoncule graminee,Ranuncolo gramineo,2,CR,1,2,2,2,1,0,0
339400,Ranunculus lingua L.,Grosser Sumpf-Hahnenfuss,Grande douve,Ranuncolo delle canne,4,VU,1,1,1,1,0,A,A
340000,Ranunculus peltatus Schrank,Schild-Wasserhahnenfuss,Renoncule peltee,Ranuncolo peltato,3,EN,1,2,2,2,1,B,A
340100,Ranunculus penicillatus (Dumort.) Bab.,Pinsel-Wasserhahnenfuss,Renoncule penicillee,Ranuncolo pennello,4,VU,1,1,1,1,0,C,A
340500,Ranunculus polyanthemophyllus W. Koch & H. E. Hess,Polyanthemusblaettriger Hahnenfuss,Renoncule a feuilles de polyantheme,Ranuncolo a foglie di statice,4,NT,2,0,0,1,0,B,A
340700,Ranunculus pygmaeus Wahlenb.,Zwerg-Hahnenfuss,Renoncule naine,Ranuncolo pigmeo,1,EN,3,1,1,1,0,0,0
341000,Ranunculus reptans L.,Wurzelnder Sumpf-Hahnenfuss,Renoncule radicante,Ranuncolo reptante,1,EN,3,2,2,2,1,A,A
341100,Ranunculus rionii Lagger,Rions Wasserhahnenfuss,Renoncule de Rion,Ranuncolo di Rion,2,CR,1,2,2,2,1,0,D
341200,Ranunculus sardous Crantz,Sardinischer Hahnenfuss,Renoncule sarde,Ranuncolo sardo,4,VU,1,1,0,1,0,A,A
341500,Ranunculus sceleratus L.,Gift-Hahnenfuss,Renoncule scelerate,Ranuncolo tossico,4,VU,1,1,1,1,0,A,A
341600,Ranunculus seguieri Vill.,Seguiers Hahnenfuss,Renoncule de Seguier,Ranuncolo di Seguier,2,VU,3,1,1,1,0,0,0
343000,Reseda luteola L.,Faerber-Reseda,Gaude,Reseda biondella,4,VU,1,1,0,1,0,A,A
343100,Reseda phyteuma L.,Rapunzel-Reseda,Reseda raiponce,Reseda selvatica,3,EN,1,1,0,1,0,D,A
343700,Rhamnus saxatilis Jacq.,Felsen-Kreuzdorn,Nerprun des rochers,Ranno spinello,4,VU,1,1,1,1,0,0,A
344200,Rhinanthus angustifolius C. C. Gmel.,Kahler Klappertopf,Rhinanthe a feuilles etroites,Cresta di gallo tardiva,4,VU,1,1,1,1,0,A,A
344400,Rhinanthus antiquus (Sterneck) Schinz & Thell.,Altertuemlicher Klappertopf,Rhinanthe antique,Cresta di gallo bergamasca,3,NT,3,1,0,1,0,0,0
345900,Rhynchospora fusca (L.) W. T. Aiton,Rotbraunes Schnabelried,Rhynchospora brun rougeatre,Rincospora scura,3,EN,1,2,2,2,1,D,A
346600,Rorippa amphibia (L.) Besser,Wasserkresse,Cresson amphibie,Crescione di chiana,4,VU,1,1,1,1,0,A,A
347150,Rorippa stylosa (Pers.) Mansf. & Rothm.,Pyrenaeen-Sumpfkresse,Cresson des Pyrenees,Crescione dei Pirenei,4,VU,1,1,1,1,0,0,A
347400,Rosa abietina Christ,Tannen-Rose,Rosier des sapins,Rosa degli abeti,3,NT,3,0,0,1,0,A,A
347900,Rosa chavinii Rapin,Chavins Rose,Rosier de Chavin,Rosa di Chavin,2,VU,3,1,1,1,0,A,D
348500,Rosa elliptica Tausch,Duft-Rose,Rosier a feuilles elliptiques,Rosa a foglie ellittiche,4,VU,1,1,1,1,0,B,A
348600,Rosa gallica L.,Essig-Rose,Rosier de France,Rosa serpeggiante,3,EN,1,2,2,1,0,A,A
348800,Rosa jundzillii Besser,Jundzills Rose,Rosier de Jundzill,Rosa di Jundzill,3,EN,1,2,1,2,1,A,A
348900,Rosa majalis Herrm.,Zimt-Rose,Rosier cannelle,Rosa cannella,2,VU,3,1,1,1,0,A,A
349200,Rosa montana Chaix,Suedalpine Rose,Rosier des montagnes,Rosa montana,4,VU,1,1,1,1,0,A,0
349800,Rosa rhaetica Gremli,Buendner-Rose,Rosier rhetique,Rosa retica,3,EN,1,2,1,2,1,0,0
350100,Rosa sherardii Davies,Sherards Rose,Rosier de Sherard,Rosa di Sherard,4,NT,2,0,0,1,0,A,A
350300,Rosa stylosa Desv.,Saeulengrifflige Rose,Rosier a styles soudes,Rosa a stili saldati,3,EN,1,2,1,2,1,A,A
350550,Rosa tomentella Leman,Flaum-Rose,Rosier finement tomenteux,Rosa finemente tomentosa,4,VU,1,1,1,1,0,A,A
351400,Rubia tinctorum L.,Faerber-Krapp,Garance des teinturiers,Robbia domestica,4,VU,1,1,0,1,0,C,A
359600,Rumex aquaticus L.,Wasser-Ampfer,Rumex aquatique,Romice acquatico,3,EN,1,2,2,2,1,A,D
360000,Rumex hydrolapathum Huds.,Riesen-Ampfer,Rumex geant,Romice tabacco di palude,4,VU,1,2,1,2,1,A,A
360200,Rumex maritimus L.,Strand-Ampfer,Rumex maritime,Romice marittimo,2,CR,1,2,2,2,1,A,D
360700,Rumex pulcher L.,Schoener Ampfer,Rumex elegant,Romice cavolaccio,4,VU,1,1,0,1,0,D,A
