date,place,species,year,loc_date
11.07.2020,cygnes lot 6,papaver-rhoeas,1,"('cygnes lot 6', '11.07.2020')"
2020-08-30,cygnes lot 7,solidago-canadensis,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,packera-aurea,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,populus-alba,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,medicago-lupulina,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,buddleja-davidii,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,artemisia-vulgaris,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,lotus-corniculatus,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,conzya-canadensis,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,erigeron-annuus,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 7,chenopodium-album,1,"('cygnes lot 7', '2020-08-30')"
2020-08-30,cygnes lot 8,artemisia-vulgaris,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,rosa-canina,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,oenothera-biennis,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,medicago-sativa,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,medicago-lupulina,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,hypericum-perforatum,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,verbena-officinalis,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,silene-vulgaris,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,cirsium-arvense,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,daucus-carota,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,lotus-corniculatus,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,trifolium-pratense,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,pastinaca-sativa,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,echium-vulgare,1,"('cygnes lot 8', '2020-08-30')"
2020-08-30,cygnes lot 8,senecio-inaequidens,1,"('cygnes lot 8', '2020-08-30')"
